time,ax,
09:45:00,585,
09:45:30,585.5,
09:46:00,586,
09:46:30,586.5,
09:47:00,587,
09:47:30,587.5,
09:48:00,588,
09:48:30,588.5,
09:49:00,589,
09:49:30,589.5,
09:50:00,590,
09:50:30,590.5,
09:51:00,591,
09:51:30,591.5,
09:52:00,592,
09:52:30,592.5,
09:53:00,593,
09:53:30,593.5,
09:54:00,594,
09:54:30,594.5,
09:55:00,595,
09:55:30,595.5,
09:56:00,596,
09:56:30,596.5,
09:57:00,597,
09:57:30,597.5,
09:58:00,598,
09:58:30,598.5,
09:59:00,599,
09:59:30,599.5,
10:00:00,600,
10:00:30,600.5,
10:01:00,601,
10:01:30,601.5,
10:02:00,602,
10:02:30,602.5,
10:03:00,603,
10:03:30,603.5,
10:04:00,604,
10:04:30,604.5,
10:05:00,605,
10:05:30,605.5,
10:06:00,606,
10:06:30,606.5,
10:07:00,607,
10:07:30,607.5,
10:08:00,608,
10:08:30,608.5,
10:09:00,609,
10:09:30,609.5,
10:10:00,610,
10:10:30,610.5,
10:11:00,611,
10:11:30,611.5,
10:12:00,612,
10:12:30,612.5,
10:13:00,613,
10:13:30,613.5,
10:14:00,614,
10:14:30,614.5,
10:15:00,615,
10:15:30,615.5,
10:16:00,616,
10:16:30,616.5,
10:17:00,617,
10:17:30,617.5,
10:18:00,618,
10:18:30,618.5,
10:19:00,619,
10:19:30,619.5,
10:20:00,620,
10:20:30,620.5,
10:21:00,621,
10:21:30,621.5,
10:22:00,622,
10:22:30,622.5,
10:23:00,623,
10:23:30,623.5,
10:24:00,624,
10:24:30,624.5,
10:25:00,625,
10:25:30,625.5,
10:26:00,626,
10:26:30,626.5,
10:27:00,627,
10:27:30,627.5,
10:28:00,628,
10:28:30,628.5,
10:29:00,629,
10:29:30,629.5,
10:30:00,630,
10:30:30,630.5,
10:31:00,631,
10:31:30,631.5,
10:32:00,632,
10:32:30,632.5,
10:33:00,633,
10:33:30,633.5,
10:34:00,634,
10:34:30,634.5,
10:35:00,635,
10:35:30,635.5,
10:36:00,636,
10:36:30,636.5,
10:37:00,637,
10:37:30,637.5,
10:38:00,638,
10:38:30,638.5,
10:39:00,639,
10:39:30,639.5,
10:40:00,640,
10:40:30,640.5,
10:41:00,641,
10:41:30,641.5,
10:42:00,642,
10:42:30,642.5,
10:43:00,643,
10:43:30,643.5,
10:44:00,644,
10:44:30,644.5,
10:45:00,645,
10:45:30,645.5,
10:46:00,646,
10:46:30,646.5,
10:47:00,647,
10:47:30,647.5,
10:48:00,648,
10:48:30,648.5,
10:49:00,649,
10:49:30,649.5,
10:50:00,650,
10:50:30,650.5,
10:51:00,651,
10:51:30,651.5,
10:52:00,652,
10:52:30,652.5,
10:53:00,653,
10:53:30,653.5,
10:54:00,654,
10:54:30,654.5,
10:55:00,655,
10:55:30,655.5,
10:56:00,656,
10:56:30,656.5,
10:57:00,657,
10:57:30,657.5,
10:58:00,658,
10:58:30,658.5,
10:59:00,659,
10:59:30,659.5,
11:00:00,660,
11:00:30,660.5,
11:01:00,661,
11:01:30,661.5,
11:02:00,662,
11:02:30,662.5,
11:03:00,663,
11:03:30,663.5,
11:04:00,664,
11:04:30,664.5,
11:05:00,665,
11:05:30,665.5,
11:06:00,666,
11:06:30,666.5,
11:07:00,667,
11:07:30,667.5,
11:08:00,668,
11:08:30,668.5,
11:09:00,669,
11:09:30,669.5,
11:10:00,670,
11:10:30,670.5,
11:11:00,671,
11:11:30,671.5,
11:12:00,672,
11:12:30,672.5,
11:13:00,673,
11:13:30,673.5,
11:14:00,674,
11:14:30,674.5,
11:15:00,675,
11:15:30,675.5,
11:16:00,676,
11:16:30,676.5,
11:17:00,677,
11:17:30,677.5,
11:18:00,678,
11:18:30,678.5,
11:19:00,679,
11:19:30,679.5,
11:20:00,680,
11:20:30,680.5,
11:21:00,681,
11:21:30,681.5,
11:22:00,682,
11:22:30,682.5,
11:23:00,683,
11:23:30,683.5,
11:24:00,684,
11:24:30,684.5,
11:25:00,685,
11:25:30,685.5,
11:26:00,686,
11:26:30,686.5,
11:27:00,687,
11:27:30,687.5,
11:28:00,688,
11:28:30,688.5,
11:29:00,689,
11:29:30,689.5,
11:30:00,690,
11:30:30,690.5,
11:31:00,691,
11:31:30,691.5,
11:32:00,692,
11:32:30,692.5,
11:33:00,693,
11:33:30,693.5,
11:34:00,694,
11:34:30,694.5,
11:35:00,695,
11:35:30,695.5,
11:36:00,696,
11:36:30,696.5,
11:37:00,697,
11:37:30,697.5,
11:38:00,698,
